,region_Europe & Central Asia,region_Latin America & Caribbean,region_Middle East & North Africa,region_North America,region_South Asia,region_Sub-Saharan Africa,status_Developing,life_expectancy,year,adult_mortality,infant_mortality,1-4_mortality,alcohol,hep_b,measles,bmi,polio,health_gov_expendt%,dtp3,hiv_aids,gdp,population,5_19thinness,5_19obesity,hdi,schooling,drinking_water,national_income_capita,health_expenditure%_gdp,obesity_adlts
0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.518839844539246,-1.6269784336399213,1.056456211698939,2.134398413335833,1.432960272390554,-1.135440583934375,-0.6317311354840209,0.35737902979170205,-1.479604708916006,-2.4965234721273983,0.9324453420129941,-2.4552122448427194,-0.32405455691269935,-0.5108300159754054,-0.11784469038282915,3.245658040668105,-1.1510989666987086,-1.3553372600147287,-1.9120334938885475,-2.841470137544219,-1.1999435428142795,-0.29302132899634087,-1.4294894148843975
1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.4662271334240096,-1.4100479758212652,0.9794599059986407,2.058559702357276,1.351609112719286,-1.135440583934375,-0.5924646495584003,0.5515620828302834,-1.434280188476188,-2.0267198934013475,0.7679251463626382,-2.0756367275184893,-0.32405455691269935,-0.5106155149386176,-0.1117841517751389,3.2029344128160715,-1.1287516628399472,-1.3459637526739467,-1.7943999065958895,-2.840166185054244,-1.1614052798482981,-0.28723770684888555,-1.4183654465841546
2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.3715242534165837,-1.193117518002609,0.8492218088021758,1.973731488999795,1.2568589385139264,-1.135440583934375,-0.5531981636327797,0.005063051049953164,-1.3889556680363715,-1.9840104771535247,0.7514731267976026,-1.9491115550770792,-0.32405455691269935,-0.5054776089937496,-0.10449978009914844,3.160210784964039,-1.106404358981186,-1.3412769990035558,-1.706174716126396,-2.7320090847915406,-0.8149694156961863,1.372379117292523,-1.396117509983669
3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.3189115423013473,-0.9761870601839528,0.7977676813064303,1.8802406642589877,1.1659370541754503,-1.135440583934375,-0.5139316777071591,-0.14192394156400434,-1.3436311475965534,-1.770463395914411,1.1874516452710464,-1.7382362676747292,-0.32405455691269935,-0.5046828035779344,-0.09658517103469201,3.1174871571120057,-1.084057055122425,-1.1913008815510446,-1.6179495256569025,-2.6238103362040386,-0.811880770783544,1.1689137472699815,-1.384993541683426
4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.2873439156322057,-0.7592566023652966,0.7578831054222133,1.7862595030247848,1.0807576046372989,-1.1329419136329826,-0.4353987058559179,-0.1708337055141429,-1.2983066271567354,-3.3080023808360313,1.1751126305972692,-3.2565383369716496,-0.32405455691269935,-0.5031919630760744,-0.08891972558893144,3.074763529259973,-1.0617097512636637,-1.1538068521879168,-1.5297243351874092,-2.514745199625367,-0.811880770783544,1.520311201190775,-1.36274560508294
5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.2557762889630644,-0.5423261445466404,0.7166837878966111,1.689336322830206,0.9994064449660307,-1.1329419136329826,-0.4746651917815385,-0.09855929563879649,-1.252982106716919,-1.0444033197014235,1.1380955865759392,-1.0212602905067392,-0.32405455691269935,-0.5173495093618843,-0.08212635280860632,3.03203990140794,-1.0393624474049026,-1.0835055471320523,-1.2062319701325996,-2.4047612290168905,-0.8057034809582597,1.5769669039700387,-1.3516216367826974
6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.2557762889630644,-0.32539568672798425,0.7047829283847599,1.5888173416840585,0.9103987055609961,-1.1304432433315899,-0.5531981636327797,-0.03812743967073577,-1.2076575862771008,-1.0444033197014235,0.6157439653860588,-1.0212602905067392,-0.32405455691269935,-0.4992902804370664,-0.0764175746037808,2.9893162735559065,-1.0170151435461412,-1.0413247640985335,-1.1474151764862708,-2.294670823800596,-0.8019971070630891,1.8502692813878454,-1.3293737001822117
7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.2347312045169694,-0.10846522890932808,0.6765684328944916,1.4928748344762717,0.8280904734230072,-1.1329419136329826,-0.5924646495584003,-0.11205632398901179,-1.1623330658372844,-0.8308562384623095,0.3278336229979359,-0.8103850031043891,-0.32405455691269935,-0.49218606099142626,-0.07152224233057998,2.946592645703874,-0.9946678396873802,-0.9944572273946238,-1.059189986016777,-2.1693237631101163,-0.7927311723251625,1.5592918806884515,-1.3071257635817257
8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.1715959511786858,0.10846522890932808,0.6093155516189835,1.3949709812949018,0.7534388210187848,-1.1304432433315899,-0.5531981636327797,-0.07217478215418209,-1.1170085453974663,-0.7881468222144867,0.9859144055993602,-0.7682099456239191,-0.32405455691269935,-0.4919285907807476,-0.06697134211851753,2.9038690178518407,-0.9499732319698577,-0.9100956613275862,-0.970964795547284,-2.0422768337556554,-0.7902602563950488,1.7018550040529805,-1.28487782698124
9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.1189832400634494,0.32539568672798425,0.5648363732965199,1.2978843556025248,0.6740018062809583,-1.135440583934375,-0.5924646495584003,0.037717151897248224,-1.0716840249576483,-0.8308562384623095,1.4342319387465805,-0.8103850031043891,-0.32405455691269935,-0.48663123494118254,-0.06203936813668495,2.882507203925824,-0.9276259281110966,-0.9054089076571953,-0.9121480019009547,-1.9135254081455684,-0.7754347608143664,1.524371350967976,-1.262629890380754
